Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,313.500000,315.799988,310.600006,311.600006,300.880615,4416465
2017-12-12,312.000000,312.000000,305.899994,306.799988,296.245758,5457103
2017-12-13,306.350006,307.350006,301.049988,301.899994,291.514282,6911856
2017-12-14,303.899994,304.649994,301.750000,303.899994,293.445526,4904177
2017-12-15,307.000000,317.450012,307.000000,315.899994,305.032715,20571225
2017-12-18,315.899994,318.000000,305.299988,311.149994,300.446106,13690080
2017-12-19,314.000000,314.399994,309.549988,312.250000,301.508270,6290291
2017-12-20,312.399994,313.399994,310.000000,311.700012,300.977203,6605913
2017-12-21,311.200012,313.950012,309.399994,310.450012,299.770203,7130623
2017-12-22,310.500000,313.500000,308.700012,310.149994,299.480469,7895699
2017-12-26,310.500000,317.899994,310.200012,315.500000,304.646454,9269961
2017-12-27,316.649994,318.950012,313.350006,315.149994,304.308472,8912485
2017-12-28,314.000000,316.000000,311.799988,313.500000,302.715271,7927990
2017-12-29,313.500000,315.799988,312.799988,315.149994,304.308472,4718184
2018-01-01,315.500000,317.750000,311.299988,312.600006,301.846252,4019878
2018-01-02,313.399994,314.000000,307.149994,311.649994,300.928894,5224976
2018-01-03,312.000000,316.500000,311.149994,315.850006,304.984436,5672263
2018-01-04,316.000000,318.399994,313.000000,317.100006,306.191437,5667580
2018-01-05,317.500000,337.899994,317.450012,332.850006,321.399628,30720675
2018-01-08,336.000000,341.299988,331.299988,333.600006,322.123779,12747890
2018-01-09,334.899994,342.799988,327.549988,341.350006,329.607208,13282560
2018-01-10,341.500000,342.350006,335.450012,339.799988,328.110474,10385044
2018-01-11,339.000000,344.250000,335.299988,343.149994,331.345276,8266126
2018-01-12,344.100006,344.700012,337.549988,340.899994,329.172668,5688676
2018-01-15,341.899994,343.700012,335.100006,336.000000,324.441223,7142164
2018-01-16,336.000000,338.750000,328.000000,334.850006,323.330811,7296505
2018-01-17,335.100006,343.500000,331.399994,342.399994,330.621063,7985222
2018-01-18,350.000000,356.899994,332.350006,341.200012,329.462372,35465087
2018-01-19,347.500000,352.250000,339.100006,349.350006,337.332001,21425789
2018-01-22,349.950012,358.250000,348.750000,355.350006,343.125580,13456538
2018-01-23,359.850006,360.399994,352.299988,359.549988,347.181091,10196645
2018-01-24,357.000000,366.299988,356.000000,364.799988,352.250488,11258771
2018-01-25,364.500000,364.500000,355.649994,361.600006,349.160583,8963188
2018-01-29,361.200012,363.700012,355.549988,358.000000,345.684387,7931235
2018-01-30,358.000000,360.799988,351.850006,353.350006,341.194397,7890491
2018-01-31,353.000000,356.549988,350.450012,354.399994,342.208252,8527044
2018-02-01,355.000000,367.250000,352.649994,359.899994,347.519073,15217926
2018-02-02,354.200012,356.000000,341.799988,349.049988,337.042297,16298953
2018-02-05,340.000000,349.000000,333.600006,343.600006,331.779816,13407059
2018-02-06,325.000000,342.899994,324.000000,338.750000,327.096649,12557261
2018-02-07,344.000000,344.000000,330.600006,332.899994,321.447876,11681640
2018-02-08,332.899994,340.350006,331.500000,335.000000,323.475647,7785799
2018-02-09,330.000000,331.450012,324.000000,325.549988,314.350739,9395513
2018-02-12,326.600006,337.200012,326.600006,335.399994,323.861877,12049356
2018-02-14,336.000000,337.850006,318.950012,320.350006,309.329620,13548524
2018-02-15,321.200012,328.799988,317.700012,319.799988,308.798523,15482667
2018-02-16,324.000000,325.000000,309.649994,311.799988,301.073761,18611798
2018-02-19,313.850006,315.000000,307.549988,312.049988,301.315125,9311433
2018-02-20,314.350006,316.100006,307.500000,308.700012,298.080414,11389041
2018-02-21,311.000000,313.899994,304.500000,312.350006,301.604858,13342678
2018-02-22,311.899994,316.899994,308.149994,316.100006,305.225830,14787238
